Cluster 0: food, football, force, forced, followers, covid, response, tests, whether, aggressive
Cluster 1: think, risk, due, good, day, healthcare, aware, failure, systemic, thread
Cluster 2: enough, donald, sanders, win, yes, candidate, beat, november, senator, movement
Cluster 3: man, fight, paper, toilet, human, amazing, stupid, humanity, shrugging, species
Cluster 4: health, one, get, new, like, us, trump, people, covid, coronavirus
Cluster 5: tired, cool, hospitals, hour, hello, delivery, green, lunch, shifts, pizza
Cluster 6: safe, symptoms, ready, three, open, mouth, nose, tissue, keycap, digit
Cluster 7: flu, follows, focus, let, death, car, baby, hold, rather, cry
Cluster 8: negative, room, charge, nurses, pray, kid, enter, nurse, docs, photo
Cluster 9: thanks, pence, novel, meeting, passenger, airlines, inviting, ceos, collaboratively, constructive
Cluster 10: areas, winning, tories, previously, seat, majority, reflect, posts, likes, twitter
Cluster 11: leave, fight, paid, south, another, countries, usa, among, places, obvious
Cluster 12: fire, know, game, dog, laughing, floor, rolling, gak, joy, tears
Cluster 14: says, virus, tested, iran, across, secretary, ministry, received, labs, samples
Cluster 15: defeat, economy, order, fatality, fauci, seasonal, influenza, severe, fakenews, may
Cluster 16: black, racism, british, players, explain, houses, bought, except, lovely, read
Cluster 18: football, force, forced, following, trump, may, sure, russia, known, material
Cluster 19: food, football, force, forced, foreign, following, zone, coronavirus, panic, dumb
Cluster 20: force, forced, coronavirus, covid, cases, global, university, hopkins, johns, tracked
Cluster 21: followers, get, white, family, enough, power, scary, living, movie, house
Cluster 22: always, ask, times, black, brexit, johnson, tech, london, disaster, liar
Cluster 23: think, mi, heart, shit, city, whole, telling, quarantined, loudly, crying
Cluster 24: administration, contain, massive, january, resign, knew, necessary, failed, continuing, deficiencies
Cluster 25: football, force, forced, stay, past, trying, always, ones, crowd, speak
Cluster 26: following, follows, food, football, force, followers, coronavirus, trump, hell, victims
Cluster 27: chief, hour, co, air, east, coast, tour, interview, development, sunday
Cluster 28: following, follows, food, football, force, followers, test, virus, positive, meeting
Cluster 29: following, follows, food, football, force, forced, foreign, votes, cash, meanwhile
Cluster 30: buying, people, healthy, serious, problems, buy, stockpiling, difficult, underlying, selfish
